image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,confidence,predicted_age,age_confidence
cluster_071_AccoID_1168967_20251105_110053.png,71,1168967,224596/78,2025-11-05 11:01:00,2025-11-05 11:00:53,-262.0,1.0,0.0,89.0,Breakfast,BREAKFAST,hadeda,Female,0.99,31–40,0.534
cluster_071_AccoID_1168967_20251105_110053.png,71,1168967,224596/78,2025-11-05 11:01:00,2025-11-05 11:00:53,-262.0,2.0,0.0,39.0,Beverages Cold,ICE COFFEE,condensed milk,Female,0.99,31–40,0.534
cluster_071_AccoID_1168967_20251105_110053.png,71,1168967,224596/78,2025-11-05 11:01:00,2025-11-05 11:00:53,-262.0,1.0,0.0,43.0,Toasted sandwiches,TOASTED SANDWICH,cheese and tomotoe,Female,0.99,31–40,0.534
cluster_072_AccoID_1168958_20251105_110004.png,72,1168958,224595/80,2025-11-05 11:00:00,2025-11-05 11:00:04,-226.0,1.0,0.0,39.0,Beverages Coffee,COFFEE,mocha,Female,0.988,01–10,0.286
cluster_072_AccoID_1168958_20251105_110004.png,72,1168958,224595/80,2025-11-05 11:00:00,2025-11-05 11:00:04,-226.0,1.0,0.0,59.0,Breakfast,BREAKFAST,avo and toast,Female,0.988,01–10,0.286
cluster_072_AccoID_1168958_20251105_110004.png,72,1168958,224595/80,2025-11-05 11:00:00,2025-11-05 11:00:04,-226.0,1.0,0.0,89.0,Tramezinni's,TRAMEZZINI,breakfast café,Female,0.988,01–10,0.286
cluster_072_AccoID_1168958_20251105_110004.png,72,1168958,224595/80,2025-11-05 11:00:00,2025-11-05 11:00:04,-226.0,1.0,0.0,39.0,Beverages Cold,CREAM SODA FLOAT,none,Female,0.988,01–10,0.286
cluster_073_AccoID_1168833_20251105_103445.png,73,1168833,224576/61,2025-11-05 10:35:00,2025-11-05 10:34:45,-29.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.964,41–55,0.414
cluster_074_AccoID_1168626_20251105_092835.png,74,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:35,-164.0,1.0,0.0,49.0,Cakes Scones Muffins,SCONE,cream jam,Female,0.995,31–40,0.325
cluster_074_AccoID_1168626_20251105_092835.png,74,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:35,-164.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.995,31–40,0.325
cluster_074_AccoID_1168626_20251105_092835.png,74,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:35,-164.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.995,31–40,0.325
cluster_074_AccoID_1168626_20251105_092835.png,74,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:35,-164.0,1.0,0.0,59.0,Cakes Scones Muffins,MUFFIN BACON,meal ,Female,0.995,31–40,0.325
cluster_075_AccoID_1168847_20251105_103429.png,75,1168847,224578/60,2025-11-05 10:36:00,2025-11-05 10:34:29,-88.0,1.0,0.0,59.0,Cakes Scones Muffins,SCONE,cheese jam and cream,Female,0.965,41–55,0.636
cluster_075_AccoID_1168847_20251105_103429.png,75,1168847,224578/60,2025-11-05 10:36:00,2025-11-05 10:34:29,-88.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.965,41–55,0.636
cluster_076_AccoID_1168626_20251105_092845.png,76,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:45,-164.0,1.0,0.0,49.0,Cakes Scones Muffins,SCONE,cream jam,Female,0.993,41–55,0.395
cluster_076_AccoID_1168626_20251105_092845.png,76,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:45,-164.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.993,41–55,0.395
cluster_076_AccoID_1168626_20251105_092845.png,76,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:45,-164.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.993,41–55,0.395
cluster_076_AccoID_1168626_20251105_092845.png,76,1168626,224544/28,2025-11-05 09:29:00,2025-11-05 09:28:45,-164.0,1.0,0.0,59.0,Cakes Scones Muffins,MUFFIN BACON,meal ,Female,0.993,41–55,0.395
cluster_077_AccoID_1168633_20251105_092919.png,77,1168633,224545/29,2025-11-05 09:31:00,2025-11-05 09:29:19,-150.0,1.0,0.0,59.0,Cakes Scones Muffins,SCONE,cheese jam and cream,Female,0.988,41–55,0.374
cluster_077_AccoID_1168633_20251105_092919.png,77,1168633,224545/29,2025-11-05 09:31:00,2025-11-05 09:29:19,-150.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,latte,Female,0.988,41–55,0.374
cluster_077_AccoID_1168633_20251105_092919.png,77,1168633,224545/29,2025-11-05 09:31:00,2025-11-05 09:29:19,-150.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.988,41–55,0.374
cluster_077_AccoID_1168633_20251105_092919.png,77,1168633,224545/29,2025-11-05 09:31:00,2025-11-05 09:29:19,-150.0,1.0,0.0,19.0,Cakes,BANANA CAKE,banana cake plain,Female,0.988,41–55,0.374
cluster_078_AccoID_1168840_20251105_103442.png,78,1168840,224577/59,2025-11-05 10:35:00,2025-11-05 10:34:42,-97.0,1.0,0.0,24.0,Beverages Tea,TEA,rooibos,Female,0.983,21–30,0.374
cluster_078_AccoID_1168840_20251105_103442.png,78,1168840,224577/59,2025-11-05 10:35:00,2025-11-05 10:34:42,-97.0,1.0,0.0,73.0,Toasted sandwiches,TOASTED SANDWICH,mince and cheese,Female,0.983,21–30,0.374
