AccoID,AccoDate,AccoDocNo,AccoTypeId,AccoAmount,AccoDebit,AccoCredit,VatRateId,VatAmount,SessionID,AuditNo,AuditSubNo,WeekNo,Total,AccoDateStamp,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockSizeDesc,StockDesciption
1170787,2025-11-07 08:36:00,224871/3,7,-143.0,143.0,0.0,0,0.0,19366,251169,439314,45,True,2025-11-07 08:36:08.457,1.0,0.0,25.0,Beverages Coffee,COFFEE,cup,americano
1170787,2025-11-07 08:36:00,224871/3,7,-143.0,143.0,0.0,0,0.0,19366,251169,439314,45,True,2025-11-07 08:36:08.457,1.0,0.0,29.0,Beverages Coffee,COFFEE,regular,cappuccino
1170787,2025-11-07 08:36:00,224871/3,7,-143.0,143.0,0.0,0,0.0,19366,251169,439314,45,True,2025-11-07 08:36:08.457,1.0,0.0,89.0,Tramezinni's,TRAMEZZINI,None,breakfast café
1170794,2025-11-07 08:38:00,224872/4,7,-213.0,213.0,0.0,0,0.0,19367,251171,439316,45,True,2025-11-07 08:38:02.730,1.0,0.0,16.0,Extra,EXTRA,sub,toast gluten free breakfast 2
1170794,2025-11-07 08:38:00,224872/4,7,-213.0,213.0,0.0,0,0.0,19367,251171,439316,45,True,2025-11-07 08:38:02.730,1.0,0.0,23.0,Beverages Coffee,COFFEE,None,espresso
1170794,2025-11-07 08:38:00,224872/4,7,-213.0,213.0,0.0,0,0.0,19367,251171,439316,45,True,2025-11-07 08:38:02.730,1.0,0.0,36.0,Beverages Coffee,COFFEE,None,latte
1170794,2025-11-07 08:38:00,224872/4,7,-213.0,213.0,0.0,0,0.0,19367,251171,439316,45,True,2025-11-07 08:38:02.730,1.0,0.0,59.0,Breakfast,BREAKFAST,None,café breakfast
1170794,2025-11-07 08:38:00,224872/4,7,-213.0,213.0,0.0,0,0.0,19367,251171,439316,45,True,2025-11-07 08:38:02.730,1.0,0.0,79.0,Breakfast,BREAKFAST,None,loerie
1170801,2025-11-07 08:43:00,224873,7,-151.0,151.0,0.0,0,0.0,19366,251173,0,45,True,2025-11-07 08:43:21.710,1.0,0.0,24.0,Beverages Tea,TEA,None,rooibos
1170801,2025-11-07 08:43:00,224873,7,-151.0,151.0,0.0,0,0.0,19366,251173,0,45,True,2025-11-07 08:43:21.710,1.0,0.0,26.0,Beverages Tea,TEA,None,earl grey
1170801,2025-11-07 08:43:00,224873,7,-151.0,151.0,0.0,0,0.0,19366,251173,0,45,True,2025-11-07 08:43:21.710,1.0,0.0,36.0,Beverages Coffee,COFFEE,large,cappuccino
