cluster,num_unique_orders,accoids
cluster_219,4,"[1171156, 1171163, 1171170, 1171175]"
cluster_218,4,"[1171156, 1171163, 1171170, 1171175]"
cluster_215,4,"[1171194, 1171199, 1171206, 1171213]"
cluster_213,4,"[1171412, 1171419, 1171426, 1171478]"
cluster_209,4,"[1171457, 1171464, 1171471, 1171478]"
cluster_208,4,"[1171719, 1171726, 1171733, 1171736]"
cluster_259,4,"[1171457, 1171464, 1171471, 1171478]"
cluster_261,4,"[1171779, 1171786, 1171793, 1171800]"
cluster_235,4,"[1171156, 1171163, 1171170, 1171175]"
cluster_226,4,"[1171194, 1171199, 1171206, 1171213]"
cluster_000,4,"[1170854, 1170861, 1170866, 1170873]"
cluster_067,4,"[1170854, 1170861, 1170866, 1170873]"
cluster_083,4,"[1171036, 1171039, 1171046, 1171053]"
cluster_071,4,"[1171170, 1171175, 1171182, 1171187]"
cluster_077,4,"[1171502, 1171509, 1171516, 1171521]"
cluster_060,4,"[1170842, 1170847, 1171291, 1171296]"
cluster_079,4,"[1171194, 1171199, 1171206, 1171272]"
cluster_049,4,"[1171502, 1171509, 1171516, 1171521]"
cluster_047,4,"[1171381, 1171412, 1171419, 1171426]"
cluster_045,4,"[1171678, 1171683, 1171688, 1171695]"
cluster_035,4,"[1171678, 1171683, 1171688, 1171695]"
cluster_034,4,"[1171393, 1171400, 1171405, 1171412]"
cluster_033,4,"[1171678, 1171683, 1171688, 1171695]"
cluster_032,4,"[1171678, 1171683, 1171688, 1171695]"
cluster_029,4,"[1171678, 1171683, 1171688, 1171695]"
cluster_024,4,"[1170854, 1170861, 1170866, 1170873]"
cluster_040,4,"[1171119, 1171126, 1171242, 1171247]"
cluster_023,4,"[1170854, 1170861, 1170866, 1170873]"
cluster_062,3,"[1171388, 1171393, 1171400]"
cluster_212,3,"[1171194, 1171199, 1171206]"
cluster_210,3,"[1171194, 1171199, 1171206]"
cluster_006,3,"[1171545, 1171574, 1171579]"
cluster_004,3,"[1171652, 1171659, 1171664]"
cluster_202,3,"[1170982, 1170989, 1170996]"
cluster_199,3,"[1171719, 1171726, 1171733]"
cluster_198,3,"[1170932, 1170937, 1170942]"
cluster_195,3,"[1171753, 1171758, 1171765]"
cluster_193,3,"[1171753, 1171758, 1171765]"
cluster_262,3,"[1171457, 1171464, 1171471]"
cluster_057,3,"[1171678, 1171683, 1171688]"
cluster_190,3,"[1171464, 1171471, 1171478]"
cluster_064,3,"[1171388, 1171393, 1171400]"
cluster_066,3,"[1171267, 1171291, 1171296]"
cluster_186,3,"[1171753, 1171758, 1171765]"
cluster_181,3,"[1170894, 1170901, 1170906]"
cluster_180,3,"[1171194, 1171199, 1171206]"
cluster_069,3,"[1171612, 1171619, 1171624]"
cluster_002,3,"[1171652, 1171659, 1171664]"
cluster_072,3,"[1171502, 1171509, 1171516]"
cluster_191,3,"[1171464, 1171471, 1171478]"
