cluster,num_unique_orders,accoids
cluster_noise,148,"[1168504, 1168525, 1168530, 1168537, 1168544, 1168559, 1168564, 1168571, 1168576, 1168595, 1168602, 1168614, 1168619, 1168626, 1168647, 1168652, 1168661, 1168668, 1168675, 1168687, 1168694, 1168701, 1168708, 1168715, 1168722, 1168729, 1168736, 1168741, 1168748, 1168769, 1168776, 1168783, 1168790, 1168797, 1168804, 1168811, 1168816, 1168821, 1168828, 1168833, 1168840, 1168847, 1168854, 1168859, 1168864, 1168869, 1168879, 1168888, 1168895, 1168902, 1168907, 1168916, 1168923, 1168930, 1168937, 1168958, 1168967, 1168974, 1168981, 1168985, 1168992, 1169004, 1169009, 1169016, 1169019, 1169033, 1169038, 1169045, 1169052, 1169069, 1169076, 1169081, 1169086, 1169091, 1169098, 1169105, 1169112, 1169119, 1169131, 1169136, 1169141, 1169155, 1169160, 1169167, 1169172, 1169186, 1169193, 1169200, 1169207, 1169210, 1169213, 1169227, 1169234, 1169239, 1169253, 1169260, 1169267, 1169286, 1169291, 1169298, 1169303, 1169310, 1169315, 1169322, 1169336, 1169341, 1169348, 1169355, 1169360, 1169374, 1169381, 1169396, 1169403, 1169408, 1169415, 1169420, 1169427, 1169434, 1169441, 1169448, 1169467, 1169490, 1169495, 1169502, 1169507, 1169514, 1169521, 1169528, 1169533, 1169543, 1169546, 1169560, 1169567, 1169572, 1169579, 1169611, 1169623, 1169630, 1169635, 1169645, 1169652, 1169684, 1169716, 1169733, 1169764, 1169767, 1169770, 1169788]"
cluster_173,13,"[1168755, 1168760, 1169052, 1169098, 1169105, 1169160, 1169193, 1169200, 1169239, 1169272, 1169279, 1169360, 1169616]"
cluster_295,12,"[1168537, 1168544, 1168755, 1168760, 1168869, 1168874, 1168888, 1169155, 1169160, 1169193, 1169200, 1169244]"
cluster_294,11,"[1168525, 1168552, 1168559, 1168564, 1168788, 1168864, 1168869, 1169448, 1169455, 1169460, 1169677]"
cluster_296,9,"[1168626, 1168633, 1168715, 1168722, 1168748, 1169076, 1169081, 1169521, 1169528]"
cluster_298,9,"[1168811, 1169239, 1169272, 1169279, 1169286, 1169441, 1169521, 1169528, 1169623]"
cluster_306,8,"[1168602, 1168833, 1168840, 1168902, 1168907, 1169038, 1169298, 1169303]"
cluster_131,7,"[1169322, 1169341, 1169348, 1169355, 1169360, 1169396, 1169403]"
cluster_222,7,"[1169038, 1169623, 1169630, 1169635, 1169640, 1169645, 1169684]"
cluster_302,7,"[1168626, 1168633, 1168640, 1168647, 1168652, 1168821, 1168828]"
cluster_284,7,"[1168687, 1168708, 1169076, 1169081, 1169086, 1169091, 1169239]"
cluster_216,7,"[1169098, 1169105, 1169172, 1169179, 1169182, 1169186, 1169193]"
cluster_305,7,"[1168708, 1168821, 1168833, 1168840, 1168895, 1168902, 1168907]"
cluster_040,6,"[1168708, 1168715, 1168722, 1168729, 1168736, 1168741]"
cluster_291,6,"[1169119, 1169124, 1169253, 1169260, 1169507, 1169514]"
cluster_096,6,"[1168715, 1168722, 1168729, 1168736, 1168741, 1168879]"
cluster_297,6,"[1168821, 1168828, 1168847, 1169630, 1169635, 1169640]"
cluster_271,6,"[1168537, 1168544, 1168869, 1168874, 1168879, 1168888]"
cluster_210,6,"[1169623, 1169630, 1169635, 1169640, 1169645, 1169684]"
cluster_018,6,"[1168879, 1168888, 1168930, 1168937, 1169298, 1169303]"
cluster_144,6,"[1169160, 1169167, 1169172, 1169179, 1169182, 1169186]"
cluster_249,5,"[1168626, 1168633, 1168640, 1168647, 1168652]"
cluster_074,5,"[1168626, 1168633, 1168640, 1168647, 1168652]"
cluster_223,5,"[1169623, 1169630, 1169635, 1169640, 1169645]"
cluster_186,5,"[1169076, 1169081, 1169086, 1169091, 1169098]"
cluster_208,5,"[1169098, 1169172, 1169179, 1169182, 1169186]"
cluster_181,5,"[1168847, 1168854, 1168859, 1168864, 1168869]"
cluster_274,5,"[1168788, 1168854, 1168859, 1168864, 1169652]"
cluster_272,5,"[1168715, 1168722, 1168729, 1168736, 1168741]"
cluster_170,5,"[1168821, 1168828, 1168833, 1168840, 1168847]"
cluster_158,5,"[1169623, 1169630, 1169635, 1169640, 1169645]"
cluster_270,5,"[1168537, 1168544, 1168869, 1168874, 1168888]"
cluster_151,5,"[1168769, 1168776, 1168783, 1169193, 1169200]"
cluster_076,5,"[1168626, 1168633, 1168640, 1168647, 1168652]"
cluster_127,5,"[1168687, 1168708, 1168864, 1168869, 1168874]"
cluster_200,5,"[1169098, 1169105, 1169172, 1169179, 1169193]"
cluster_077,5,"[1168626, 1168633, 1168640, 1168647, 1168652]"
cluster_095,5,"[1168729, 1168736, 1168741, 1168879, 1168888]"
cluster_138,5,"[1168547, 1169009, 1169016, 1169386, 1169393]"
cluster_137,5,"[1168847, 1168854, 1168859, 1168864, 1168869]"
cluster_118,5,"[1168715, 1168722, 1168729, 1168879, 1168888]"
cluster_120,5,"[1168992, 1168997, 1169004, 1169009, 1169016]"
cluster_126,5,"[1168682, 1168687, 1168694, 1168708, 1168741]"
cluster_250,5,"[1168626, 1168633, 1168640, 1168647, 1168652]"
cluster_092,5,"[1168517, 1168525, 1168530, 1169286, 1169645]"
cluster_013,5,"[1168992, 1168997, 1169004, 1169009, 1169016]"
cluster_028,5,"[1168626, 1168633, 1168640, 1168647, 1168652]"
cluster_033,5,"[1168715, 1168722, 1168729, 1168736, 1168741]"
cluster_288,5,"[1168715, 1168722, 1168879, 1168888, 1169495]"
cluster_304,5,"[1169179, 1169182, 1169186, 1169521, 1169528]"
cluster_293,5,"[1168847, 1168854, 1168859, 1168864, 1168869]"
cluster_004,5,"[1168902, 1168907, 1168916, 1168923, 1169623]"
cluster_106,4,"[1169611, 1169716, 1169728, 1169733]"
cluster_262,4,"[1168797, 1168804, 1168811, 1169286]"
cluster_091,4,"[1168517, 1168530, 1169286, 1169291]"
cluster_090,4,"[1169403, 1169408, 1169415, 1169420]"
cluster_301,4,"[1169057, 1169182, 1169186, 1169193]"
cluster_113,4,"[1169155, 1169160, 1169167, 1169172]"
cluster_257,4,"[1169076, 1169081, 1169086, 1169091]"
cluster_202,4,"[1169239, 1169272, 1169279, 1169286]"
cluster_121,4,"[1168992, 1168997, 1169004, 1169009]"
cluster_251,4,"[1169076, 1169081, 1169086, 1169091]"
cluster_023,4,"[1169403, 1169408, 1169415, 1169420]"
cluster_244,4,"[1169076, 1169081, 1169086, 1169091]"
cluster_258,4,"[1169076, 1169081, 1169086, 1169091]"
cluster_117,4,"[1168992, 1169004, 1169009, 1169016]"
cluster_141,4,"[1168895, 1168902, 1168907, 1168916]"
cluster_088,4,"[1169403, 1169408, 1169415, 1169420]"
cluster_159,4,"[1169038, 1169045, 1169086, 1169091]"
cluster_165,4,"[1169291, 1169329, 1169336, 1169341]"
cluster_196,4,"[1169630, 1169635, 1169640, 1169645]"
cluster_169,4,"[1168854, 1168859, 1168864, 1168869]"
cluster_007,4,"[1168992, 1168997, 1169004, 1169009]"
cluster_174,4,"[1169052, 1169239, 1169267, 1169360]"
cluster_179,4,"[1169193, 1169200, 1169207, 1169210]"
cluster_180,4,"[1169193, 1169200, 1169207, 1169210]"
cluster_183,4,"[1169033, 1169038, 1169434, 1169441]"
cluster_005,4,"[1168564, 1169239, 1169427, 1169434]"
cluster_187,4,"[1169310, 1169315, 1169521, 1169528]"
cluster_226,4,"[1168821, 1168828, 1168833, 1168840]"
