cluster,num_unique_orders,accoids
cluster_225,4,"[1168821, 1168828, 1168833, 1168840]"
cluster_089,4,"[1169403, 1169408, 1169415, 1169420]"
cluster_191,4,"[1168854, 1168859, 1168864, 1168869]"
cluster_279,4,"[1168661, 1168668, 1169091, 1169348]"
cluster_206,4,"[1168576, 1168583, 1168590, 1168595]"
cluster_287,4,"[1169131, 1169207, 1169210, 1169788]"
cluster_030,4,"[1169403, 1169408, 1169415, 1169420]"
cluster_080,4,"[1169182, 1169186, 1169193, 1169200]"
cluster_281,4,"[1169495, 1169755, 1169764, 1169767]"
cluster_054,4,"[1169630, 1169635, 1169640, 1169645]"
cluster_058,4,"[1168633, 1168640, 1168647, 1168652]"
cluster_001,3,"[1168923, 1168930, 1168937]"
cluster_162,3,"[1169448, 1169455, 1169460]"
cluster_161,3,"[1169448, 1169455, 1169460]"
cluster_160,3,"[1169038, 1169045, 1169098]"
cluster_276,3,"[1168992, 1168997, 1169004]"
cluster_010,3,"[1168729, 1168736, 1168741]"
cluster_198,3,"[1169630, 1169635, 1169640]"
cluster_156,3,"[1169322, 1169521, 1169528]"
cluster_268,3,"[1168804, 1168811, 1168847]"
cluster_152,3,"[1169374, 1169381, 1169386]"
cluster_303,3,"[1169155, 1169490, 1169495]"
cluster_277,3,"[1168997, 1169004, 1169009]"
cluster_150,3,"[1168755, 1168760, 1169052]"
cluster_234,3,"[1169272, 1169279, 1169286]"
cluster_236,3,"[1169630, 1169635, 1169640]"
cluster_212,3,"[1169291, 1169298, 1169441]"
cluster_014,3,"[1168992, 1168997, 1169004]"
cluster_143,3,"[1169004, 1169009, 1169016]"
cluster_142,3,"[1169004, 1169009, 1169016]"
cluster_164,3,"[1168895, 1168902, 1168907]"
cluster_008,3,"[1168675, 1169560, 1169567]"
cluster_232,3,"[1169329, 1169336, 1169341]"
cluster_197,3,"[1169630, 1169635, 1169640]"
cluster_285,3,"[1168816, 1169396, 1169403]"
cluster_282,3,"[1168552, 1168559, 1168564]"
cluster_051,3,"[1168895, 1168902, 1168907]"
cluster_052,3,"[1168647, 1168652, 1168661]"
cluster_194,3,"[1169630, 1169635, 1169640]"
cluster_184,3,"[1169630, 1169635, 1169640]"
cluster_195,3,"[1169630, 1169635, 1169640]"
cluster_217,3,"[1169098, 1169105, 1169179]"
cluster_178,3,"[1168895, 1168902, 1168907]"
cluster_177,3,"[1168895, 1168902, 1168907]"
cluster_229,3,"[1169329, 1169336, 1169341]"
cluster_059,3,"[1169004, 1169009, 1169016]"
cluster_172,3,"[1169755, 1169764, 1169767]"
cluster_171,3,"[1169755, 1169764, 1169767]"
cluster_140,3,"[1168708, 1168715, 1168722]"
cluster_060,3,"[1168859, 1168864, 1168869]"
cluster_061,3,"[1168859, 1168864, 1168869]"
cluster_039,3,"[1168708, 1168715, 1168722]"
cluster_221,3,"[1169543, 1169546, 1169616]"
cluster_242,3,"[1169069, 1169076, 1169081]"
cluster_075,3,"[1168833, 1168840, 1168847]"
cluster_110,3,"[1168902, 1168907, 1168916]"
cluster_261,3,"[1168804, 1168811, 1168847]"
cluster_078,3,"[1168833, 1168840, 1168847]"
cluster_079,3,"[1168833, 1168840, 1168847]"
cluster_263,3,"[1168797, 1168804, 1168811]"
cluster_264,3,"[1168797, 1168804, 1168811]"
cluster_026,3,"[1168729, 1168736, 1168741]"
cluster_102,3,"[1169213, 1169220, 1169227]"
cluster_101,3,"[1169004, 1169009, 1169016]"
cluster_266,3,"[1169244, 1169253, 1169260]"
cluster_098,3,"[1168958, 1168967, 1168974]"
cluster_205,3,"[1168769, 1169038, 1169045]"
cluster_029,3,"[1169408, 1169415, 1169420]"
cluster_094,3,"[1168715, 1168722, 1168729]"
cluster_093,3,"[1168715, 1168722, 1168729]"
cluster_192,3,"[1168854, 1168859, 1168864]"
cluster_081,3,"[1168833, 1168840, 1168847]"
cluster_083,3,"[1169267, 1169272, 1169279]"
cluster_085,3,"[1168859, 1168864, 1168869]"
cluster_112,3,"[1169182, 1169186, 1169193]"
cluster_034,3,"[1169755, 1169764, 1169767]"
cluster_087,3,"[1168859, 1168864, 1168869]"
cluster_073,3,"[1168833, 1168840, 1168847]"
cluster_300,3,"[1168859, 1168864, 1168869]"
cluster_243,3,"[1169272, 1169279, 1169286]"
cluster_135,3,"[1169160, 1169167, 1169172]"
cluster_134,3,"[1169207, 1169210, 1169448]"
cluster_068,3,"[1168833, 1168840, 1168847]"
cluster_299,3,"[1168626, 1168647, 1168652]"
cluster_245,3,"[1169272, 1169279, 1169514]"
cluster_248,3,"[1168923, 1168930, 1168937]"
cluster_020,3,"[1169716, 1169728, 1169733]"
cluster_021,3,"[1169716, 1169728, 1169733]"
cluster_022,3,"[1169716, 1169728, 1169733]"
cluster_036,3,"[1169755, 1169764, 1169767]"
cluster_035,3,"[1169755, 1169764, 1169767]"
cluster_253,3,"[1168811, 1169507, 1169514]"
cluster_201,3,"[1169329, 1169336, 1169341]"
cluster_072,3,"[1168958, 1168967, 1168974]"
cluster_024,3,"[1169329, 1169336, 1169341]"
cluster_025,3,"[1168729, 1168736, 1168741]"
cluster_047,3,"[1168687, 1168694, 1168701]"
cluster_286,3,"[1168736, 1168741, 1169322]"
cluster_265,2,"[1168797, 1168804]"
cluster_224,2,"[1169057, 1169064]"
cluster_267,2,"[1169253, 1169260]"
cluster_292,2,"[1168788, 1169160]"
cluster_289,2,"[1169112, 1169119]"
cluster_280,2,"[1168864, 1168869]"
cluster_278,2,"[1168790, 1168992]"
cluster_275,2,"[1169427, 1169434]"
cluster_273,2,"[1168609, 1169476]"
cluster_269,2,"[1168804, 1168811]"
cluster_214,2,"[1169427, 1169434]"
cluster_227,2,"[1169057, 1169064]"
cluster_256,2,"[1168804, 1168811]"
cluster_254,2,"[1169507, 1169514]"
cluster_241,2,"[1168828, 1169396]"
cluster_233,2,"[1169329, 1169336]"
cluster_231,2,"[1169272, 1169279]"
cluster_230,2,"[1169336, 1169341]"
cluster_228,2,"[1169057, 1169064]"
cluster_215,2,"[1169298, 1169303]"
cluster_000,2,"[1168916, 1169434]"
cluster_213,2,"[1169019, 1169026]"
cluster_066,2,"[1169213, 1169220]"
cluster_124,2,"[1169124, 1169131]"
cluster_122,2,"[1168595, 1168602]"
cluster_114,2,"[1169112, 1169119]"
cluster_111,2,"[1168902, 1168907]"
cluster_109,2,"[1169131, 1169155]"
cluster_107,2,"[1169507, 1169514]"
cluster_211,2,"[1169507, 1169514]"
cluster_103,2,"[1169455, 1169460]"
cluster_086,2,"[1168864, 1168869]"
cluster_071,2,"[1168967, 1168974]"
cluster_067,2,"[1169213, 1169220]"
cluster_065,2,"[1169427, 1169434]"
cluster_128,2,"[1168981, 1168985]"
cluster_064,2,"[1169427, 1169434]"
cluster_062,2,"[1169427, 1169434]"
cluster_057,2,"[1168668, 1168675]"
cluster_056,2,"[1168583, 1168816]"
cluster_048,2,"[1168687, 1168694]"
cluster_038,2,"[1169016, 1169019]"
cluster_032,2,"[1169396, 1169403]"
cluster_031,2,"[1169310, 1169315]"
cluster_027,2,"[1169396, 1169403]"
cluster_017,2,"[1169348, 1169355]"
cluster_015,2,"[1168525, 1169052]"
cluster_125,2,"[1169396, 1169403]"
cluster_104,2,"[1168804, 1168811]"
cluster_189,2,"[1169322, 1169521]"
cluster_147,2,"[1168559, 1168564]"
cluster_209,2,"[1169057, 1169064]"
cluster_203,2,"[1169136, 1169141]"
cluster_193,2,"[1169136, 1169141]"
cluster_190,2,"[1169521, 1169528]"
cluster_188,2,"[1169310, 1169315]"
cluster_185,2,"[1169086, 1169091]"
cluster_182,2,"[1168879, 1168888]"
cluster_168,2,"[1169310, 1169315]"
cluster_167,2,"[1169310, 1169315]"
cluster_166,2,"[1169298, 1169303]"
cluster_157,2,"[1169119, 1169124]"
cluster_153,2,"[1169038, 1169045]"
cluster_132,2,"[1169207, 1169210]"
cluster_146,2,"[1168559, 1168564]"
cluster_130,2,"[1169136, 1169141]"
cluster_145,2,"[1168701, 1169141]"
cluster_139,2,"[1169136, 1169141]"
cluster_136,2,"[1169310, 1169315]"
cluster_219,1,[1169441]
cluster_043,1,[1169045]
cluster_290,1,[1169119]
cluster_042,1,[1168619]
cluster_041,1,[1168530]
cluster_037,1,[1169502]
cluster_207,1,[1168576]
cluster_220,1,[1169441]
cluster_218,1,[1169105]
cluster_019,1,[1169483]
cluster_045,1,[1169131]
cluster_016,1,[1169770]
cluster_246,1,[1169286]
cluster_012,1,[1169220]
cluster_011,1,[1169684]
cluster_006,1,[1168790]
cluster_003,1,[1168748]
cluster_002,1,[1169467]
cluster_044,1,[1169045]
cluster_235,1,[1168537]
cluster_046,1,[1169483]
cluster_105,1,[1169616]
cluster_260,1,[1169579]
cluster_100,1,[1168888]
cluster_097,1,[1168992]
cluster_259,1,[1169579]
cluster_084,1,[1168602]
cluster_069,1,[1169227]
cluster_176,1,[1169105]
cluster_116,1,[1168576]
cluster_255,1,[1169155]
cluster_063,1,[1169227]
cluster_129,1,[1169267]
cluster_123,1,[1169495]
cluster_055,1,[1168537]
cluster_053,1,[1168661]
cluster_050,1,[1168509]
cluster_283,1,[1169788]
cluster_049,1,[1168602]
cluster_247,1,[1168748]
