image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,gender_confidence,predicted_age,age_confidence,InvNo,survey_gender,survey_age_group,survey_time,survey_completed
cluster_170_AccoID_1168833_20251105_103413.png,170,1168833,224576/61,2025-11-05 10:35:00,2025-11-05 10:34:13,-29.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.967,66–80,0.637,61.0,,,,False
cluster_171_AccoID_1169755_20251105_160138.png,171,1169755,224716/197,2025-11-05 16:03:00,2025-11-05 16:01:38,-23.2,1.0,0.2000000029802322,29.0,Mineral cooldrinks,COKE,original  ,Male,0.822,11–20,0.922,197.0,,,,False
cluster_172_AccoID_1169755_20251105_160136.png,172,1169755,224716/197,2025-11-05 16:03:00,2025-11-05 16:01:36,-23.2,1.0,0.2000000029802322,29.0,Mineral cooldrinks,COKE,original  ,Male,0.608,11–20,0.758,197.0,,,,False
cluster_173_AccoID_1169360_20251105_125557.png,173,1169360,224661/144,2025-11-05 12:57:00,2025-11-05 12:55:57,-20.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.697,11–20,0.348,144.0,,,,False
cluster_174_AccoID_1169052_20251105_112350.png,174,1169052,224610/67,2025-11-05 11:25:00,2025-11-05 11:23:50,-72.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.589,21–30,0.552,67.0,,,,False
cluster_176_AccoID_1169105_20251105_113749.png,176,1169105,224619/101,2025-11-05 11:38:00,2025-11-05 11:37:49,-277.0,1.0,0.0,39.0,Mineral cooldrinks,GRAPETISER,red,Female,0.982,31–40,0.299,101.0,Female,56-65,11:36:00,True
cluster_176_AccoID_1169105_20251105_113749.png,176,1169105,224619/101,2025-11-05 11:38:00,2025-11-05 11:37:49,-277.0,1.0,0.0,20.0,Beverages Cold,WATER,sparkling,Female,0.982,31–40,0.299,101.0,Female,56-65,11:36:00,True
cluster_176_AccoID_1169105_20251105_113749.png,176,1169105,224619/101,2025-11-05 11:38:00,2025-11-05 11:37:49,-277.0,2.0,0.0,109.0,Light lunches,PASTA,chicken brocolli,Female,0.982,31–40,0.299,101.0,Female,56-65,11:36:00,True
cluster_177_AccoID_1168902_20251105_104729.png,177,1168902,224587/69,2025-11-05 10:48:00,2025-11-05 10:47:29,-210.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.982,56–65,0.827,69.0,,,,False
cluster_177_AccoID_1168902_20251105_104729.png,177,1168902,224587/69,2025-11-05 10:48:00,2025-11-05 10:47:29,-210.0,2.0,0.0,69.0,Cakes Cheese,CHEESE CAKE,baked sour cream berry coulis,Female,0.982,56–65,0.827,69.0,,,,False
cluster_178_AccoID_1168907_20251105_104746.png,178,1168907,224588/72,2025-11-05 10:48:00,2025-11-05 10:47:46,-105.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.986,56–65,0.897,72.0,,,,False
cluster_178_AccoID_1168907_20251105_104746.png,178,1168907,224588/72,2025-11-05 10:48:00,2025-11-05 10:47:46,-105.0,1.0,0.0,69.0,Cakes Cheese,CHEESE CAKE,salted caramel,Female,0.986,56–65,0.897,72.0,,,,False
cluster_179_AccoID_1169200_20251105_120810.png,179,1169200,224635/120,2025-11-05 12:08:00,2025-11-05 12:08:10,-231.0,1.0,0.0,24.0,Beverages Tea,TEA,tea five roses,Female,0.997,11–20,0.428,120.0,,,,False
cluster_179_AccoID_1169200_20251105_120810.png,179,1169200,224635/120,2025-11-05 12:08:00,2025-11-05 12:08:10,-231.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,americano,Female,0.997,11–20,0.428,120.0,,,,False
cluster_179_AccoID_1169200_20251105_120810.png,179,1169200,224635/120,2025-11-05 12:08:00,2025-11-05 12:08:10,-231.0,2.0,0.0,89.0,Breakfast,BREAKFAST,hadeda,Female,0.997,11–20,0.428,120.0,,,,False
cluster_180_AccoID_1169207_20251105_120904.png,180,1169207,224636,2025-11-05 12:10:00,2025-11-05 12:09:04,-20.0,1.0,0.0,20.0,Beverages Coffee,COFFEE,americano black ,Female,0.998,11–20,0.432,,,,,False
cluster_181_AccoID_1168854_20251105_103738.png,181,1168854,224579/64,2025-11-05 10:39:00,2025-11-05 10:37:38,-20.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.988,41–55,0.384,64.0,,,,False
cluster_182_AccoID_1168879_20251105_104335.png,182,1168879,224584/66,2025-11-05 10:44:00,2025-11-05 10:43:35,-128.0,1.0,0.0,59.0,Cakes,CARROT CAKE,carrot cake,Female,0.991,56–65,0.487,66.0,,,,False
cluster_182_AccoID_1168879_20251105_104335.png,182,1168879,224584/66,2025-11-05 10:44:00,2025-11-05 10:43:35,-128.0,1.0,0.0,69.0,Cakes Cheese,CHEESE CAKE,salted caramel,Female,0.991,56–65,0.487,66.0,,,,False
cluster_183_AccoID_1169434_20251105_130959.png,183,1169434,224673/155,2025-11-05 13:10:00,2025-11-05 13:09:59,-85.0,1.0,0.0,29.0,Mineral cooldrinks,COKE,original  ,Female,0.991,66–80,0.755,155.0,,,,False
cluster_183_AccoID_1169434_20251105_130959.png,183,1169434,224673/155,2025-11-05 13:10:00,2025-11-05 13:09:59,-85.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.991,66–80,0.755,155.0,,,,False
cluster_183_AccoID_1169434_20251105_130959.png,183,1169434,224673/155,2025-11-05 13:10:00,2025-11-05 13:09:59,-85.0,1.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.991,66–80,0.755,155.0,,,,False
cluster_184_AccoID_1169630_20251105_145355.png,184,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:53:55,-49.0,1.0,0.0,29.0,Mineral cooldrinks,ICE TEA,peach,Female,0.98,56–65,0.583,184.0,,,,False
cluster_184_AccoID_1169630_20251105_145355.png,184,1169630,224701/184,2025-11-05 14:54:00,2025-11-05 14:53:55,-49.0,1.0,0.0,20.0,Beverages Cold,WATER,thirsty mineral still,Female,0.98,56–65,0.583,184.0,,,,False
cluster_185_AccoID_1169091_20251105_113417.png,185,1169091,224617/98,2025-11-05 11:34:00,2025-11-05 11:34:17,-171.0,1.0,0.0,24.0,Beverages Tea,TEA,tea five roses,Female,0.801,66–80,0.742,98.0,,,,False
