,dtype,unique,missing_pct
image_name,object,286,0.0
cluster_id,int64,286,0.0
AccoID,int64,136,0.0
AccoDocNo,object,136,0.0
AccoDate,object,122,0.0
timestamp,object,286,0.0
AccoAmount,float64,105,0.0
Quantity,float64,5,0.0
Discount,float64,2,0.0
UnitPrice,float64,41,0.0
StockCateDesc,object,20,0.0
StockName,object,55,0.0
StockDesciption,object,110,0.0
predicted_gender,object,2,0.0
confidence,float64,123,0.0
predicted_age,object,7,0.0
age_confidence,float64,213,0.0
InvNo,float64,131,2.2396416573348263
survey_gender,object,2,65.17357222844345
survey_age_group,object,6,65.17357222844345
survey_time,object,32,65.17357222844345
survey_completed,bool,2,0.0
